date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:42	39926/39926	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:39%20GMT	https://demo.graygrids.com/themes/classified/index.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/index.html	(from )
01:30:43	63/63	---MCZ	200	added ('OK')	text/plain	etag:W/%2235-58d02325-beab5;;;%22	https://demo.graygrids.com/robots.txt		(from )
01:30:44	591/591	---M--	200	added ('OK')	image/png	etag:%2224f-5ea863c1-fc314;;;%22	https://demo.graygrids.com/themes/classified/assets/images/favicon.png	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/images/favicon.png	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:44	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%221b27-5ea863a3-fc351;gz%22	https://demo.graygrids.com/themes/classified/assets/css/magnific-popup.css	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/css/magnific-popup.css	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:44	3076/3076	---MCZ	200	added ('OK')	text/css	etag:W/%22fa7-5ea863a7-fc34b;gz%22	https://demo.graygrids.com/themes/classified/assets/css/nice-select.css	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/css/nice-select.css	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:44	1330/1330	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-5ea863a3-fc352;gz%22	https://demo.graygrids.com/themes/classified/assets/css/slick.css	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/css/slick.css	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:44	11084/11084	---M-Z	200	added ('OK')	text/css	etag:%222b4c-5ea863a5-fc34d;gz%22	https://demo.graygrids.com/themes/classified/assets/css/ion.rangeSlider.min.css	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/css/ion.rangeSlider.min.css	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:46	72729/72729	---M-Z	200	added ('OK')	text/css	etag:%2211c19-5ea863a6-fc34f;gz%22	https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:46	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-5ea863a2-fc34c;gz%22	https://demo.graygrids.com/themes/classified/assets/css/bootstrap.min.css	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/css/bootstrap.min.css	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:46	7953/7953	---MCZ	200	added ('OK')	text/css	etag:W/%222c28-5ea863a7-fc34e;gz%22	https://demo.graygrids.com/themes/classified/assets/css/default.css	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/css/default.css	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:46	125699/125699	---MCZ	200	added ('OK')	text/css	etag:W/%222a438-5ea863a9-fc350;gz%22	https://demo.graygrids.com/themes/classified/assets/css/style.css	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/css/style.css	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:47	3687/3687	---M--	200	added ('OK')	image/png	etag:%22e67-5ea863c4-fc30c;;;%22	https://demo.graygrids.com/themes/classified/assets/images/logo.png	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/images/logo.png	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:47	20251/20251	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:51%20GMT	https://demo.graygrids.com/themes/classified/categories.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/categories.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:47	19038/19038	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:41%20GMT	https://demo.graygrids.com/themes/classified/about.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/about.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:47	32723/32723	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:41%20GMT	https://demo.graygrids.com/themes/classified/product.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/product.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:47	20942/20942	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:44%20GMT	https://demo.graygrids.com/themes/classified/product-details.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/product-details.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:48	8715/8715	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:44%20GMT	https://demo.graygrids.com/themes/classified/error-404.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/error-404.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:48	15002/15002	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:50%20GMT	https://demo.graygrids.com/themes/classified/faq.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/faq.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:48	10303/10303	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:43%20GMT	https://demo.graygrids.com/themes/classified/pricing.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/pricing.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:48	9180/9180	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:47%20GMT	https://demo.graygrids.com/themes/classified/sign-in.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/sign-in.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:49	9334/9334	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:48%20GMT	https://demo.graygrids.com/themes/classified/sign-up.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/sign-up.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:50	14380/14380	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:39%20GMT	https://demo.graygrids.com/themes/classified/blog.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/blog.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:51	23940/23940	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:49%20GMT	https://demo.graygrids.com/themes/classified/blog-details.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/blog-details.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:52	10977/10977	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:42%20GMT	https://demo.graygrids.com/themes/classified/contact.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/contact.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:52	17059/17059	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:46%20GMT	https://demo.graygrids.com/themes/classified/dashboard.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/dashboard.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:52	10551/10551	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:53%20GMT	https://demo.graygrids.com/themes/classified/profile-settings.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/profile-settings.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:53	16516/16516	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:38%20GMT	https://demo.graygrids.com/themes/classified/my-ads.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/my-ads.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:54	16261/16261	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:53%20GMT	https://demo.graygrids.com/themes/classified/offermessages.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/offermessages.html	(from https://demo.graygrids.com/themes/classified/index.html)
01:30:54	11707/11707	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2017:10:45%20GMT	https://demo.graygrids.com/themes/classified/payments.html	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/payments.html	(from https://demo.graygrids.com/themes/classified/index.html)
